adres,postcode,huisnummer,straat,woonplaats,gemeente,objecttype,lat,lng
"Spiegelpolder 1g, 1394HX Nederhorst den Berg",1394HX,1g,Spiegelpolder,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27354084,5.05142659
"Veenderij 1G, 1394LA Nederhorst den Berg",1394LA,1G,Veenderij,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.2574541,5.04490228
"Spiegelpolder 1h, 1394HX Nederhorst den Berg",1394HX,1h,Spiegelpolder,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27322828,5.05180048
"Spiegelpolder 1i, 1394HX Nederhorst den Berg",1394HX,1i,Spiegelpolder,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27270718,5.05295971
"Spiegelpolder 1j, 1394HX Nederhorst den Berg",1394HX,1j,Spiegelpolder,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27279077,5.05241169
"Spiegelpolder 1k, 1394HX Nederhorst den Berg",1394HX,1k,Spiegelpolder,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27283807,5.05203043
"Spiegelpolder 1l, 1394HX Nederhorst den Berg",1394HX,1l,Spiegelpolder,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27288803,5.05175717
"Spiegelpolder 1m, 1394HX Nederhorst den Berg",1394HX,1m,Spiegelpolder,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27297135,5.05104589
"Spiegelpolder 1n, 1394HX Nederhorst den Berg",1394HX,1n,Spiegelpolder,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27303078,5.05062097
"Spiegelpolder 1p, 1394HX Nederhorst den Berg",1394HX,1p,Spiegelpolder,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27238351,5.05048596
"Spiegelpolder 1q, 1394HX Nederhorst den Berg",1394HX,1q,Spiegelpolder,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27231597,5.0509131
"Spiegelpolder 1r, 1394HX Nederhorst den Berg",1394HX,1r,Spiegelpolder,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27226601,5.0513703
"Spiegelpolder 1s, 1394HX Nederhorst den Berg",1394HX,1s,Spiegelpolder,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27223296,5.05178418
"Spiegelpolder 1t, 1394HX Nederhorst den Berg",1394HX,1t,Spiegelpolder,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27218537,5.05220597
"Spiegelpolder 1u, 1394HX Nederhorst den Berg",1394HX,1u,Spiegelpolder,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27211427,5.0526883
"Spiegelpolder 1w, 1394HX Nederhorst den Berg",1394HX,1w,Spiegelpolder,Nederhorst den Berg,Wijdemeren,standplaats,52.27328652,5.04896448
"Spiegelpolder 1x, 1394HX Nederhorst den Berg",1394HX,1x,Spiegelpolder,Nederhorst den Berg,Wijdemeren,standplaats,52.27330518,5.04884734
"Acacialaan 2, 1394BV Nederhorst den Berg",1394BV,2,Acacialaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25234438,5.04680675
"Aelbert Cuypstraat 2, 1394GE Nederhorst den Berg",1394GE,2,Aelbert Cuypstraat,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26640955,5.04343239
"Ankeveensepad 2, 1394GW Nederhorst den Berg",1394GW,2,Ankeveensepad,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26451016,5.04863267
"Anton Mauvelaan 2, 1394EM Nederhorst den Berg",1394EM,2,Anton Mauvelaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26457243,5.03927949
"Blijklaan 2, 1394KB Nederhorst den Berg",1394KB,2,Blijklaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26104971,5.04605522
